Image name & no.,Estate,Name,Vintage,Volume [ml],Lot Size,Picked,Recorked,Authentication code,Packaging,Wine Description (Highlights of vintage),Rating 1,Rating 2,Rating 3
65,Château d'Yquem,Sauternes,1977,750,1,Yes,No,463,OWC,,,,
66,Château d'Yquem,Sauternes,1977,750,1,Yes,No,408,OWC,,,,
67,Château d'Yquem,Sauternes,1978,750,1,Yes,No,456,OWC,,,,
68,Château d'Yquem,Sauternes,1978,750,1,Yes,No,426,OWC,,,,
69,Château d'Yquem,Sauternes,1979,750,1,Yes,No,467,OWC,,Wine Spectator - 93/100,,
70,Château d'Yquem,Sauternes,1980,750,1,Yes,No,432,OWC,,Robert Parker - 93/100,,
71,Château d'Yquem,Sauternes,1981,750,1,Yes,No,495,OWC,,Vinous - 90/100,,
72,Château d'Yquem,Sauternes,1982,750,1,Yes,No,502,OWC,,Jancis Robinson - 16.5/20,Vinous - 95/100,
73,Château d'Yquem,Sauternes,1982,750,1,Yes,No,471,OWC,,Jancis Robinson - 16.5/20,Vinous - 95/100,
74,Château d'Yquem,Sauternes,1983,750,1,Yes,No,454,OWC,,Jancis Robinson - 20/20,Wine Spectator - 98/100,Robert Parker - 96/100
75,Château d'Yquem,Sauternes,1984,750,1,Yes,No,399,OWC,,,,
76,Château d'Yquem,Sauternes,1985,750,1,Yes,No,412,OWC,,Wine Spectator - 94/100,,
77,Château d'Yquem,Sauternes,1985,750,1,Yes,No,473,OWC,,Wine Spectator - 94/100,,
78,Château d'Yquem,Sauternes,1986,750,1,Yes,No,417,OWC,,Jancis Robinson - 18.5/20,Robert Parker - 96/100,
79,Château d'Yquem,Sauternes,1986,750,1,Yes,No,462,OWC,,Jancis Robinson - 18.5/20,Robert Parker - 96/100,
80,Château d'Yquem,Sauternes,1988,750,1,Yes,No,229,OWC,,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,
81,Château d'Yquem,Sauternes,1988,750,1,Yes,No,400,OWC,,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,
82,Château d'Yquem,Sauternes,1988,1500,1,Yes,No,260,,,Jancis Robinson - 19.5/20,Wine Advocate - 96/100,
