Name,Description,Image,Token ID,Volume (ml),Vintage,Recorked,Authentication Code,Rating 1,Rating 2,Rating 3,URL
Domaine de la Romanée-Conti La Tâche 2012,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/48.png,47,750,2012,No,2518,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/47
Domaine de la Romanée-Conti La Tâche 2012,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/49.png,48,750,2012,No,2519,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/48
Domaine de la Romanée-Conti La Tâche 2012,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/50.png,49,750,2012,No,2520,Decanter - 98/100,Vinous - 97/100,Jancis Robinson - 18.5++/20,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/49
Domaine de la Romanée-Conti La Tâche 2013,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/51.png,50,750,2013,No,1497,Jancis Robinson - 19/20,Wine Advocate - 97/100,Vinous - 97+/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/50
Domaine de la Romanée-Conti Richebourg 2000,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/52.png,51,750,2000,No,2154,Wine Enthusiast - 95/100,Vinous - 92/100,,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/51
Domaine de la Romanée-Conti Richebourg 2000,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/53.png,52,750,2000,No,2155,Wine Enthusiast - 95/100,Vinous - 92/100,,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/52
Domaine de la Romanée-Conti Richebourg 2006,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/54.png,53,750,2006,No,2156,Jancis Robinson - 18.5/20,Vinous - 95/100,Decanter -  93/100,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/53
Domaine de la Romanée-Conti Richebourg 2012,One of the top scoring vintages.,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/55.png,54,750,2012,No,2157,Wine Advocate - 97/100,Vinous - 96+/100,,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/54
Domaine de la Romanée-Conti Romanée-Conti 2009,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/56.png,55,750,2009,No,1245,Decanter - 100/100,Vinous - 98+/100,,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/55
Domaine de la Romanée-Conti Romanée-Conti 2009,,https://ipfs.fanfire.ai/ipfs/QmV7WGPHwSYYHcM6pUocKmVTi3BZBZVi61tkAoF8iGNS5e/Romanee/images/57.png,56,750,2009,No,1244,Decanter - 100/100,Vinous - 98+/100,,https://opensea.io/assets/matic/0xedE4662aEAB7FB9aC316476643cc836A171A12B0/56
